x,y,z,r,g,b,
0.226176,-0.0692387,-0.879486,194,240,204,
0.283766,-0.0862826,-0.909574,189,245,211,
0.217379,-0.0846307,-0.889673,182,236,198,
0.200486,-0.107048,-0.882293,172,224,189,
0.34243,-0.142174,-0.91925,139,214,204,
0.231194,-0.138989,-0.879486,178,221,187,
0.241504,-0.143694,-0.872273,121,168,143,
0.179016,0.0277195,-0.864636,195,254,220,
0.228584,-0.152239,-0.871174,202,235,194,
0.235714,-0.16638,-0.866804,103,155,140,
0.230752,-0.187837,-0.862478,113,168,146,
0.269715,-0.197401,-0.876142,144,190,159,
0.340232,-0.250866,-0.880607,183,240,194,
0.273932,-0.210749,-0.85554,199,248,214,
0.188948,-0.238303,-0.973628,95,180,152,
0.193167,-0.250229,-0.952827,168,255,230,
0.184378,-0.261151,-0.961441,174,254,246,
0.236109,-0.237255,-0.839947,173,219,190,
0.314996,-0.256417,-0.89082,158,212,186,
0.173838,-0.24881,-0.859796,242,252,235,
0.163955,-0.245479,-0.842506,143,212,171,
0.19253,-0.251164,-0.857663,234,255,240,
0.177253,-0.297187,-1.00769,161,252,218,
0.18435,-0.256223,-0.862478,107,164,141,
0.169986,-0.299668,-1.00622,101,188,153,
0.269742,-0.251747,-0.844049,131,173,147,
0.175865,-0.308817,-1.00696,163,254,229,
0.294804,-0.297957,-0.85185,190,218,189,
0.311762,-0.335721,-0.852375,127,171,150,
0.269265,-0.34115,-0.831861,200,254,222,
0.236441,-0.352991,-0.832361,198,252,204,
0.274172,-0.362741,-0.846633,198,244,215,
0.235747,-0.403007,-0.819048,156,208,171,
0.262512,-0.430112,-0.828372,206,253,209,
0.209048,-0.438765,-0.838419,161,217,177,
0.301041,-0.453979,-0.830362,94,138,120,
-0.0963091,0.443728,-0.778464,198,240,188,
0.251795,0.445421,-0.799163,109,159,155,
-0.0561849,0.434718,-0.778464,158,191,148,
-0.0822534,0.434432,-0.778464,139,181,140,
0.24908,0.4396,-0.805214,197,245,217,
-0.0403909,0.429816,-0.778464,209,244,195,
0.0297803,0.425568,-0.778464,132,165,130,
-0.0507959,0.42308,-0.778464,140,179,134,
-0.0683928,0.423448,-0.778464,129,175,140,
0.0845965,0.420118,-0.785095,184,239,207,
-0.0429194,0.418506,-0.778464,213,252,194,
0.0757703,0.418136,-0.783316,146,199,165,
-0.154802,0.418174,-0.778464,180,225,178,
-0.0212417,0.414319,-0.778464,198,239,193,
0.0418398,0.409603,-0.778464,203,242,197,
-0.102057,0.412783,-0.778464,209,248,192,
-0.113199,0.41138,-0.778464,123,161,124,
-0.0417432,0.400836,-0.778464,184,237,195,
-0.116357,0.400041,-0.778464,181,232,183,
0.109191,0.390505,-0.778464,178,233,187,
7.85494e-05,0.39226,-0.778464,138,184,147,
-0.0111685,0.392769,-0.778464,211,253,201,
-0.133696,0.395516,-0.778464,183,228,178,
0.0582363,0.388894,-0.778464,183,237,201,
0.147443,0.37503,-0.786882,182,239,204,
0.0256067,0.373649,-0.778464,152,196,162,
0.0357452,0.370745,-0.778464,206,249,201,
0.0181874,0.367705,-0.778464,247,252,222,
-0.0232694,0.36368,-0.778464,112,159,134,
0.107429,0.354627,-0.785988,130,182,145,
-0.00725671,0.3534,-0.778464,203,251,203,
0.0381303,0.348862,-0.778464,213,252,201,
0.0283181,0.348406,-0.782429,129,175,140,
0.0075865,0.347558,-0.778464,211,254,212,
-0.00126329,0.347167,-0.778464,152,200,152,
0.178247,-0.3115,-1.01658,161,253,228,
0.135106,0.345663,-0.79003,198,254,214,
0.0937183,0.339845,-0.787779,187,245,198,
-0.0819693,0.338119,-0.778464,184,233,185,
0.0167344,0.332041,-0.785988,126,178,139,
-0.165084,0.332724,-0.778464,192,241,188,
0.0722041,0.3326,-0.791387,188,242,203,
